7001000000,29.2258243561
97091000000,0
%time,field
96331000000,-29.2259998322
%time,field
96331000000,-10.7539997101
Trial 42,
Trial 43,
%time,field
7110000000,53.4093933105
187300000000,0
%time,field
7110000000,-33.0679206848
187300000000,0
%time,field
186960000000,33.0680007935
395574000000,0
%time,field
186960000000,53.4090003967
395574000000,0
Trial 44,
%time,field
7212000000,26.0405349731
86317000000,0
%time,field
7212000000,9.34802818298
86317000000,0
%time,field
85342000000,-9.34799957275
165656000000,0
%time,field
85342000000,26.0410003662
165656000000,0
Trial 45,
%time,field
6873000000,20.8790340424
65907000000,0
%time,field
6873000000,1.34378516674
65907000000,0
%time,field
65343000000,-1.34399998188
125663000000,0
%time,field
65343000000,20.8789997101
125663000000,0
Trial 46,
%time,field
6915000000,-49.7512893677
175152000000,0
%time,field
6915000000,29.2475681305
175152000000,0
%time,field
174242000000,-29.2479991913
342659000000,0
%time,field
174242000000,-49.7509994507
342659000000,0
Trial 47,
%time,field
7102000000,-56.0484580994
173299000000,0
%time,field
7102000000,9.19272899628
173299000000,0
%time,field
172984000000,-9.19299983978
336178000000,0
%time,field
172984000000,-56.0480003357
336178000000,0
Trial 48,
%time,field
7224000000,48.280708313
235576000000,0
%time,field
7224000000,-62.3319091797
235576000000,0
%time,field
235419000000,62.3320007324
%time,field
235419000000,48.28099823
Trial 49,
%time,field
7130000000,59.3181610107
%time,field
7130000000,25.7811546326
